"REF_DATE","GEO","DGUID","Trade","Domain","Trading partner","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Canada","2016A000011124","Imports from","Other published works","All trading partners","Canadian dollars","47","millions","6","v122689993","1.1.22.1","365.4","","","","1"
"2023","Canada","2016A000011124","Imports from","Other published works","All trading partners","Canadian dollars","47","millions","6","v122689993","1.1.22.1","448.0","","","","1"
"2019","Canada","2016A000011124","Imports from","Collected information","All trading partners","Canadian dollars","47","millions","6","v122690034","1.1.23.1","468.5","","","","1"
"2020","Canada","2016A000011124","Imports from","Collected information","All trading partners","Canadian dollars","47","millions","6","v122690034","1.1.23.1","1161.2","","","","1"
"2021","Canada","2016A000011124","Imports from","Collected information","All trading partners","Canadian dollars","47","millions","6","v122690034","1.1.23.1","1361.7","","","","1"
"2022","Canada","2016A000011124","Imports from","Collected information","All trading partners","Canadian dollars","47","millions","6","v122690034","1.1.23.1","1387.9","","","","1"
"2023","Canada","2016A000011124","Imports from","Collected information","All trading partners","Canadian dollars","47","millions","6","v122690034","1.1.23.1","1525.4","","","","1"
"2019","Canada","2016A000011124","Imports from","Multi sub-domain","All trading partners","Canadian dollars","47","millions","6","v122690075","1.1.24.1","1221.4","","","","1"
"2020","Canada","2016A000011124","Imports from","Multi sub-domain","All trading partners","Canadian dollars","47","millions","6","v122690075","1.1.24.1","1142.6","","","","1"
"2021","Canada","2016A000011124","Imports from","Multi sub-domain","All trading partners","Canadian dollars","47","millions","6","v122690075","1.1.24.1","1198.5","","","","1"
"2022","Canada","2016A000011124","Imports from","Multi sub-domain","All trading partners","Canadian dollars","47","millions","6","v122690075","1.1.24.1","1303.0","","","","1"
"2023","Canada","2016A000011124","Imports from","Multi sub-domain","All trading partners","Canadian dollars","47","millions","6","v122690075","1.1.24.1","1296.3","","","","1"
"2019","Canada","2016A000011124","Imports from","Audio-visual and interactive media","All trading partners","Canadian dollars","47","millions","6","v122690116","1.1.25.1","4908.8","","","","1"
"2020","Canada","2016A000011124","Imports from","Audio-visual and interactive media","All trading partners","Canadian dollars","47","millions","6","v122690116","1.1.25.1","5324.5","","","","1"
"2021","Canada","2016A000011124","Imports from","Audio-visual and interactive media","All trading partners","Canadian dollars","47","millions","6","v122690116","1.1.25.1","6399.6","","","","1"
