title,canonical_title,category,gender,wiki,trends,youtube,spotify,prior_total_tickets,prior_run_count,ticket_median_prior,years_since_last_run,is_remount_recent,is_remount_medium,run_count_prior,month_of_opening,holiday_flag,target_ticket_median
The Little Mermaid,the little mermaid,family_classic,female,78,35,95,72,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Merry Widow,the merry widow,classic_comedy,female,65,30,75,36,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Snow Queen,the snow queen,family_classic,female,70,28,82,58,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Stone Angel,the stone angel,adult_literary_drama,female,57,30,60,78,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Taming of the Shrew,the taming of the shrew,classic_comedy,male,68,24,75,45,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Times They Are A-Changin',the times they are a-changin',pop_ip,co,60,25,72,68,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Two Pigeons,the two pigeons,classic_romance,co,52,12,60,35,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
The Vertiginous Thrill of Exactitude,the vertiginous thrill of exactitude,contemporary_mixed_bill,co,46,12,55,32,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Theme and Variations,theme and variations,contemporary_mixed_bill,co,50,14,58,34,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Trockadero,trockadero,touring_contemporary_company,male,56,20,80,59,2614.0,1.0,2614.0,8.876112251882272,0,0,1,1.0,1,2614.0
Unleashed – Mixed Bill,unleashed - mixed bill,contemporary_mixed_bill,co,54,44,60,64,2564.0,1.0,2564.0,5.771389459274469,0,0,1,2.0,0,2564.0
West Side Story Suite,west side story suite,pop_ip,co,78,42,92,82,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Who Cares?,who cares,pop_ip,co,56,22,72,55,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Winter Dreams,winter dreams,contemporary,female,55,14,65,42,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Winter Gala,winter gala,contemporary_mixed_bill,co,74,22,65,41,1024.0,2.0,512.0,0.8459958932238193,1,0,1,1.0,1,512.0
Within the Golden Hour,within the golden hour,contemporary_mixed_bill,co,52,15,65,45,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Wizard of Oz,wizard of oz,family_classic,female,60,30,85,64,3498.0,1.0,3498.0,0.6926762491444216,1,0,1,3.0,0,3498.0
Woolf Works,woolf works,contemporary,female,52,16,65,42,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
deViate - Mixed Bill,deviate - mixed bill,contemporary_mixed_bill,co,77,40,70,64,2562.0,1.0,2562.0,6.787132101300479,0,0,1,2.0,0,2562.0
A Month in the Country,a month in the country,romantic_tragedy,female,59,44,65,70,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Adagio Hammerklavier,adagio hammerklavier,contemporary,co,26,40,55,45,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
AftA,afta,contemporary,co,35,8,45,82,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Afternoon of a Faun,afternoon of a faun,contemporary,male,56,38,72,80,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Agon,agon,contemporary,co,58,3,62,65,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Allegro Brillante,allegro brillante,contemporary,co,37,34,58,52,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Anastasia,anastasia,adult_literary_drama,female,65,56,75,66,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Angels' Atlas,angels' atlas,contemporary,co,33,26,55,61,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Anna Karenina,anna karenina,adult_literary_drama,female,82,3,72,68,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Approximate Sonata,approximate sonata,contemporary,co,45,36,52,44,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Artifact Suite,artifact suite,contemporary,co,58,28,58,45,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Autobiography,autobiography,contemporary,co,72,47,50,58,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Ballet Imperial,ballet imperial,contemporary,co,60,2,60,37,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Bella Figura,bella figura,contemporary,co,39,24,58,72,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
