show_title,category,base_score,score_with_all_weights,score_without_live_analytics,score_without_economics,score_without_stone_olafson,delta_live_analytics,delta_economics,delta_stone_olafson,aud__engagement_factor,consumer_confidence_prairies,energy_index,inflation_adjustment_factor
Carmen,romantic_tragedy,67.75,77.44465802535001,72.17582295,76.3305375,73.75681716700001,5.268835075350012,1.1141205253500033,3.6878408583500004,1.073,50.0,1036.49,1.0
Carmina Burana,adult_literary_drama,54.050000000000004,62.18732824920002,57.58085949000001,61.29270000000001,59.226026904000015,4.606468759200013,0.8946282492000108,2.961301345200006,1.08,50.0,1036.49,1.0
Charlie Chaplin,family_classic,66.30000000000001,75.78717087942002,70.63110054000002,74.69689500000001,72.17825798040002,5.156070339419998,1.0902758794200054,3.608912899019998,1.073,50.0,1036.49,1.0
Chroma,contemporary_mixed_bill,36.300000000000004,40.64356419354,38.67132654000001,40.058865,38.7081563748,1.9722376535399917,0.5846991935400041,1.9354078187400034,1.051,50.0,1036.49,1.0
Cinderella,family_classic,60.8,94.37431374783999,87.95369407999999,68.50032,89.88029880746666,6.4206196678400005,25.87399374783999,4.494014940373333,1.073,50.41,1866.88,1.095029239766082
Complexions - Lenny Kravitz,pop_ip,48.4,65.56722514139368,60.87950338105263,54.73314,62.444976325136835,4.687721760341049,10.834085141393679,3.1222488162568425,1.077,50.41,1391.67,1.1293859649122806
Contact,contemporary,46.75,52.34398418865,49.803981150000006,51.590962499999996,49.851413513,2.540003038649992,0.7530216886500014,2.4925706756500006,1.051,50.0,1036.49,1.0
Contemporary Classical,contemporary_mixed_bill,57.650000000000006,64.54825002087001,61.41603237000001,63.6196575,61.474523829400006,3.132217650870004,0.9285925208700121,3.0737261914700085,1.051,50.0,1036.49,1.0
Coppelia,classic_comedy,49.7,57.023587564020005,52.946692260000006,56.203245,54.3081786324,4.076895304019999,0.8203425640200024,2.7154089316200043,1.077,50.0,1036.49,1.0
Dance Theatre of Harlem,touring_contemporary_company,52.800000000000004,70.50267829884632,67.08152074105264,58.26744000000001,67.14540790366316,3.421157557793677,12.235238298846312,3.357270395183164,1.051,50.41,1375.17,1.1915204678362572
Dangerous Liaisons,adult_literary_drama,57.449999999999996,62.546889520610534,57.913786593157894,65.1483,59.56846621010527,4.63310292745264,-2.6014104793894717,2.9784233105052635,1.08,50.41,926.37,0.9568713450292398
Der Wolf,contemporary,22.0,24.632463147600003,23.4371676,24.278100000000002,23.459488712000002,1.1952955476000042,0.35436314760000087,1.1729744356000005,1.051,50.0,1036.49,1.0
Diavolo,touring_contemporary_company,37.0,36.1040596224,34.35210240000001,40.83135,34.384818688,1.7519572223999944,-4.727290377599999,1.7192409343999984,1.051,50.41,704.41,1.0
Die Fledermaus,family_classic,53.4,61.04125075356,56.88839772000001,60.163109999999996,58.1345245272,4.1528530335599925,0.8781407535600039,2.90672622636,1.073,50.0,1036.49,1.0
Don Quixote,classic_comedy,62.50000000000001,85.7209049743421,79.5922980263158,70.67812500000001,81.63895711842105,6.128606948026302,15.042779974342096,4.081947855921058,1.077,50.41,1375.17,1.2010233918128654
